"","created","user_id","method","currency","amount"
"1094","2020-12-09 12:39:24.922+00",3309,"bt","mxn",1
"1095","2020-12-09 12:39:24.178+00",3309,"bt","mxn",1
"1096","2020-12-09 04:25:52.262+00",3309,"bt","mxn",200
"1097","2020-12-09 04:25:51.772+00",3309,"bt","mxn",200
"1098","2020-12-09 04:25:51.208+00",3309,"bt","mxn",200
"1099","2020-12-09 04:25:50.517+00",3309,"bt","mxn",200
"1100","2020-12-09 04:25:49.712+00",3309,"spei","mxn",50
"1101","2020-12-09 04:25:35.883+00",3309,"bt","mxn",1
"1102","2020-12-09 04:25:35.197+00",3309,"bt","mxn",1
"1103","2020-12-09 04:25:34.361+00",3309,"bt","mxn",1
"1104","2020-12-09 01:51:54.253+00",3309,"bt","mxn",200
"1105","2020-12-09 01:51:53.789+00",3309,"bt","mxn",200
"1106","2020-12-09 01:51:53.082+00",3309,"bt","mxn",200
"1107","2020-12-09 01:51:52.28+00",3309,"bt","mxn",200
"1108","2020-12-09 01:51:51.547+00",3309,"spei","mxn",50
"1109","2020-12-09 01:51:37.149+00",3309,"bt","mxn",1
"1110","2020-12-09 01:51:36.558+00",3309,"bt","mxn",1
"1111","2020-12-09 01:51:35.752+00",3309,"bt","mxn",1
"1112","2020-12-08 23:12:16.903+00",3309,"bt","mxn",200
"1113","2020-12-08 23:12:16.465+00",3309,"bt","mxn",200
"1114","2020-12-08 23:12:15.805+00",3309,"bt","mxn",200
"1115","2020-12-08 23:12:15.12+00",3309,"bt","mxn",200
"1116","2020-12-08 23:12:14.296+00",3309,"spei","mxn",50
"1117","2020-12-08 23:11:59.833+00",3309,"bt","mxn",1
"1118","2020-12-08 23:11:59.155+00",3309,"bt","mxn",1
"1119","2020-12-08 23:11:58.42+00",3309,"bt","mxn",1
"1120","2020-12-08 22:58:30.147+00",3309,"bt","mxn",200
"1121","2020-12-08 22:58:29.635+00",3309,"bt","mxn",200
"1122","2020-12-08 22:58:29.003+00",3309,"bt","mxn",200
"1123","2020-12-08 22:58:28.209+00",3309,"bt","mxn",200
"1124","2020-12-08 22:58:27.427+00",3309,"spei","mxn",50
"1125","2020-12-08 22:58:12.639+00",3309,"bt","mxn",1
"1126","2020-12-08 22:58:12.095+00",3309,"bt","mxn",1
"1127","2020-12-08 22:58:11.205+00",3309,"bt","mxn",1
"1128","2020-12-08 21:42:33.849+00",3309,"bt","mxn",200
"1129","2020-12-08 21:42:33.44+00",3309,"bt","mxn",200
"1130","2020-12-08 21:42:32.738+00",3309,"bt","mxn",200
"1131","2020-12-08 21:42:31.969+00",3309,"bt","mxn",200
"1132","2020-12-08 21:42:31.221+00",3309,"spei","mxn",50
"1133","2020-12-08 21:42:16.521+00",3309,"bt","mxn",1
"1134","2020-12-08 21:42:16.015+00",3309,"bt","mxn",1
"1135","2020-12-08 21:42:15.229+00",3309,"bt","mxn",1
"1136","2020-12-08 20:37:19.777+00",3309,"bt","mxn",200
"1137","2020-12-08 20:37:19.304+00",3309,"bt","mxn",200
"1138","2020-12-08 20:37:18.578+00",3309,"bt","mxn",200
"1139","2020-12-08 20:37:17.83+00",3309,"bt","mxn",200
"1140","2020-12-08 20:37:16.953+00",3309,"spei","mxn",50
"1141","2020-12-08 20:37:01.123+00",3309,"bt","mxn",1
"1142","2020-12-08 20:37:00.552+00",3309,"bt","mxn",1
"1143","2020-12-08 20:36:59.257+00",3309,"bt","mxn",1
"1144","2020-12-08 17:36:43.999+00",3309,"bt","mxn",200
"1145","2020-12-08 17:36:43.567+00",3309,"bt","mxn",200
"1146","2020-12-08 17:36:42.868+00",3309,"bt","mxn",200
"1147","2020-12-08 17:36:42.12+00",3309,"bt","mxn",200
"1148","2020-12-08 17:36:41.309+00",3309,"spei","mxn",50
"1149","2020-12-08 17:36:27.152+00",3309,"bt","mxn",1
"1150","2020-12-08 17:36:26.592+00",3309,"bt","mxn",1
"1151","2020-12-08 17:36:25.776+00",3309,"bt","mxn",1
"1152","2020-12-08 02:38:22.868+00",3309,"bt","mxn",200
"1153","2020-12-08 02:38:22.414+00",3309,"bt","mxn",200
"1154","2020-12-08 02:38:21.728+00",3309,"bt","mxn",200
"1155","2020-12-08 02:38:20.941+00",3309,"bt","mxn",200
"1156","2020-12-08 02:38:20.204+00",3309,"spei","mxn",50
"1157","2020-12-08 02:38:05.918+00",3309,"bt","mxn",1
"1158","2020-12-08 02:38:05.294+00",3309,"bt","mxn",1
"1159","2020-12-08 02:38:04.629+00",3309,"bt","mxn",1
"1160","2020-12-08 00:31:50.796+00",3309,"bt","mxn",200
"1161","2020-12-08 00:31:50.314+00",3309,"bt","mxn",200
"1162","2020-12-08 00:31:49.636+00",3309,"bt","mxn",200
"1163","2020-12-08 00:31:48.855+00",3309,"bt","mxn",200
"1164","2020-12-08 00:31:48.185+00",3309,"spei","mxn",50
"1165","2020-12-08 00:31:33.726+00",3309,"bt","mxn",1
"1166","2020-12-08 00:31:33.16+00",3309,"bt","mxn",1
"1167","2020-12-08 00:31:32.324+00",3309,"bt","mxn",1
"1168","2020-12-07 23:07:06+00",3309,"bt","mxn",200
"1169","2020-12-07 23:07:05.498+00",3309,"bt","mxn",200
"1170","2020-12-07 23:07:04.842+00",3309,"bt","mxn",200
"1171","2020-12-07 23:07:04.152+00",3309,"bt","mxn",200
"1172","2020-12-07 23:07:03.434+00",3309,"spei","mxn",50
"1173","2020-12-07 23:06:49.201+00",3309,"bt","mxn",1
"1174","2020-12-07 23:06:48.695+00",3309,"bt","mxn",1
"1175","2020-12-07 23:06:47.826+00",3309,"bt","mxn",1
"1176","2020-12-04 17:55:42.543+00",3309,"bt","mxn",200
"1177","2020-12-04 17:55:42.112+00",3309,"bt","mxn",200
"1178","2020-12-04 17:55:41.40+00",3309,"bt","mxn",200
"1179","2020-12-04 17:55:40.687+00",3309,"bt","mxn",200
"1180","2020-12-04 17:55:39.83+00",3309,"spei","mxn",50
"1181","2020-12-04 17:55:23.842+00",3309,"bt","mxn",1
"1182","2020-12-04 17:55:23.307+00",3309,"bt","mxn",1
"1183","2020-12-04 17:55:22.547+00",3309,"bt","mxn",1
"1184","2020-12-04 06:26:57.319+00",3309,"bt","mxn",1
"1185","2020-12-04 06:12:17.244+00",3309,"bt","mxn",200
"1186","2020-12-04 06:12:16.767+00",3309,"bt","mxn",200
"1187","2020-12-04 06:12:16.15+00",3309,"bt","mxn",200
"1188","2020-12-04 06:12:15.459+00",3309,"bt","mxn",200
"1189","2020-12-04 06:12:14.598+00",3309,"spei","mxn",50
"1190","2020-12-04 06:11:58.162+00",3309,"bt","mxn",1
"1191","2020-12-04 06:11:57.267+00",3309,"bt","mxn",1
"1192","2020-12-04 03:42:00.28+00",3309,"bt","mxn",1
"1193","2020-12-04 03:27:20.578+00",3309,"bt","mxn",200
"1194","2020-12-04 03:27:20.099+00",3309,"bt","mxn",200
"1195","2020-12-04 03:27:19.394+00",3309,"bt","mxn",200
"1196","2020-12-04 03:27:18.503+00",3309,"bt","mxn",200
"1197","2020-12-04 03:27:17.781+00",3309,"spei","mxn",50
"1198","2020-12-04 03:26:58.717+00",3309,"bt","mxn",1
"1199","2020-12-04 03:26:58.051+00",3309,"bt","mxn",1
"1200","2020-12-04 03:15:08.424+00",3309,"bt","mxn",1
"1201","2020-12-04 03:00:29.665+00",3309,"bt","mxn",200
"1202","2020-12-04 03:00:29.187+00",3309,"bt","mxn",200
"1203","2020-12-04 03:00:28.429+00",3309,"bt","mxn",200
"1204","2020-12-04 03:00:27.604+00",3309,"bt","mxn",200
"1205","2020-12-04 03:00:26.818+00",3309,"spei","mxn",50
"1206","2020-12-04 03:00:06.924+00",3309,"bt","mxn",1
"1207","2020-12-04 03:00:06.256+00",3309,"bt","mxn",1
"1208","2020-12-04 02:21:20.557+00",3309,"bt","mxn",1
"1209","2020-12-04 02:06:44.457+00",3309,"bt","mxn",200
"1210","2020-12-04 02:06:43.929+00",3309,"bt","mxn",200
"1211","2020-12-04 02:06:43.23+00",3309,"bt","mxn",200
"1212","2020-12-04 02:06:42.489+00",3309,"bt","mxn",200
"1213","2020-12-04 02:06:41.714+00",3309,"spei","mxn",50
"1214","2020-12-04 02:06:21.206+00",3309,"bt","mxn",1
"1215","2020-12-04 02:06:20.587+00",3309,"bt","mxn",1
"1216","2020-12-04 00:41:38.434+00",3309,"bt","mxn",1
"1217","2020-12-04 00:33:14.496+00",3309,"bt","mxn",200
"1218","2020-12-04 00:33:13.971+00",3309,"bt","mxn",200
"1219","2020-12-04 00:33:13.247+00",3309,"bt","mxn",200
"1220","2020-12-04 00:33:12.506+00",3309,"bt","mxn",200
"1221","2020-12-04 00:33:11.683+00",3309,"spei","mxn",50
"1222","2020-12-04 00:32:50.286+00",3309,"bt","mxn",1
"1223","2020-12-04 00:32:49.455+00",3309,"bt","mxn",1
"1224","2020-12-04 00:17:58.823+00",3309,"bt","mxn",200
"1225","2020-12-04 00:17:58.283+00",3309,"bt","mxn",200
"1226","2020-12-04 00:17:57.506+00",3309,"bt","mxn",200
"1227","2020-12-04 00:17:56.268+00",3309,"bt","mxn",200
"1228","2020-12-04 00:17:04.489+00",3309,"bt","mxn",1
"1229","2020-12-04 00:17:03.908+00",3309,"bt","mxn",1
"1230","2020-12-04 00:17:02.864+00",3309,"bt","mxn",1
"1231","2020-12-04 00:13:38.60+00",3309,"bt","mxn",1
"1232","2020-12-03 23:58:59.131+00",3309,"bt","mxn",200
"1233","2020-12-03 23:58:58.646+00",3309,"bt","mxn",200
"1234","2020-12-03 23:58:57.914+00",3309,"bt","mxn",200
"1235","2020-12-03 23:58:57.228+00",3309,"bt","mxn",200
"1236","2020-12-03 23:58:56.467+00",3309,"spei","mxn",50
"1237","2020-12-03 23:58:37.616+00",3309,"bt","mxn",1
"1238","2020-12-03 23:58:36.987+00",3309,"bt","mxn",1
"1239","2020-12-03 23:47:19.076+00",3309,"bt","mxn",1
"1240","2020-12-03 23:45:06.425+00",3309,"bt","mxn",200
"1241","2020-12-03 23:45:05.956+00",3309,"bt","mxn",200
"1242","2020-12-03 23:45:05.172+00",3309,"bt","mxn",200
"1243","2020-12-03 23:45:04.30+00",3309,"bt","mxn",200
"1244","2020-12-03 23:45:03.531+00",3309,"spei","mxn",50
"1245","2020-12-03 23:44:43.787+00",3309,"bt","mxn",1
"1246","2020-12-03 23:44:43.168+00",3309,"bt","mxn",1
"1247","2020-12-03 23:31:11.529+00",3309,"bt","mxn",1
"1248","2020-12-03 23:24:43.222+00",3309,"bt","mxn",200
"1249","2020-12-03 23:24:42.707+00",3309,"bt","mxn",200
"1250","2020-12-03 23:24:41.944+00",3309,"bt","mxn",200
"1251","2020-12-03 23:24:38.789+00",3309,"bt","mxn",200
"1252","2020-12-03 23:24:37.907+00",3309,"spei","mxn",50
"1253","2020-12-03 23:24:19.856+00",3309,"bt","mxn",1
"1254","2020-12-03 23:24:19.085+00",3309,"bt","mxn",1
"1255","2020-12-03 23:04:23.507+00",3309,"spei","mxn",50
"1256","2020-12-03 22:21:42.642+00",3309,"bt","mxn",200
"1257","2020-12-03 22:21:42.145+00",3309,"bt","mxn",200
"1258","2020-12-03 22:21:41.415+00",3309,"bt","mxn",200
"1259","2020-12-03 22:21:38.556+00",3309,"bt","mxn",200
"1260","2020-12-03 22:21:37.725+00",3309,"spei","mxn",50
"1261","2020-12-03 22:21:18.97+00",3309,"bt","mxn",1
"1262","2020-12-03 22:21:18.448+00",3309,"bt","mxn",1
"1263","2020-12-03 22:21:17.438+00",3309,"bt","mxn",1
"1264","2020-12-03 17:04:48.97+00",3309,"bt","mxn",200
"1265","2020-12-03 17:04:48.505+00",3309,"bt","mxn",200
"1266","2020-12-03 17:04:47.859+00",3309,"bt","mxn",200
"1267","2020-12-03 17:04:41.164+00",3309,"bt","mxn",200
"1268","2020-12-03 17:04:40.403+00",3309,"spei","mxn",50
"1269","2020-12-03 17:04:19.739+00",3309,"bt","mxn",1
"1270","2020-12-03 17:04:19.204+00",3309,"bt","mxn",1
"1271","2020-12-03 17:04:18.256+00",3309,"bt","mxn",1
"1272","2020-12-03 16:40:16.651+00",3309,"bt","mxn",200
"1273","2020-12-03 16:40:16.125+00",3309,"bt","mxn",200
